ke	ensembl
https://identifiers.org/aop.events/264	ENSG00000198814
https://identifiers.org/aop.events/264	ENSG00000254647
https://identifiers.org/aop.events/279	ENSG00000167419
https://identifiers.org/aop.events/28	ENSG00000128052
https://identifiers.org/aop.events/281	ENSG00000163631
https://identifiers.org/aop.events/286	ENSG00000085662
https://identifiers.org/aop.events/286	ENSG00000169083
https://identifiers.org/aop.events/305	ENSG00000128052
https://identifiers.org/aop.events/350	ENSG00000138356
https://identifiers.org/aop.events/352	ENSG00000120868
https://identifiers.org/aop.events/352	ENSG00000171791
https://identifiers.org/aop.events/36	ENSG00000137869
https://identifiers.org/aop.events/369	ENSG00000106927
https://identifiers.org/aop.events/369	ENSG00000080819
https://identifiers.org/aop.events/381	ENSG00000176697
https://identifiers.org/aop.events/408	ENSG00000137869
https://identifiers.org/aop.events/41	ENSG00000073734
https://identifiers.org/aop.events/51	ENSG00000111846
https://identifiers.org/aop.events/54	ENSG00000135218
https://identifiers.org/aop.events/54	ENSG00000165060
https://identifiers.org/aop.events/54	ENSG00000254647
https://identifiers.org/aop.events/584	ENSG00000111846
https://identifiers.org/aop.events/66	ENSG00000278540
https://identifiers.org/aop.events/66	ENSG00000026103
https://identifiers.org/aop.events/66	ENSG00000169710
https://identifiers.org/aop.events/715	ENSG00000154639
https://identifiers.org/aop.events/715	ENSG00000214319
https://identifiers.org/aop.events/715	ENSG00000111846
https://identifiers.org/aop.events/716	ENSG00000154639
https://identifiers.org/aop.events/716	ENSG00000214319
https://identifiers.org/aop.events/716	ENSG00000138798
https://identifiers.org/aop.events/716	ENSG00000146648
https://identifiers.org/aop.events/752	ENSG00000111846
https://identifiers.org/aop.events/79	ENSG00000176340
https://identifiers.org/aop.events/826	ENSG00000150782
https://identifiers.org/aop.events/851	ENSG00000128683
https://identifiers.org/aop.events/853	ENSG00000106546
https://identifiers.org/aop.events/856	ENSG00000106546
https://identifiers.org/aop.events/858	ENSG00000151726
https://identifiers.org/aop.events/858	ENSG00000110090
https://identifiers.org/aop.events/858	ENSG00000163586
https://identifiers.org/aop.events/858	ENSG00000134240
https://identifiers.org/aop.events/877	ENSG00000159640
https://identifiers.org/aop.events/888	ENSG00000174951
https://identifiers.org/aop.events/89	ENSG00000278540
https://identifiers.org/aop.events/89	ENSG00000026103
https://identifiers.org/aop.events/89	ENSG00000169710
https://identifiers.org/aop.events/89	ENSG00000165060
https://identifiers.org/aop.events/89	ENSG00000198814
https://identifiers.org/aop.events/941	ENSG00000138798
https://identifiers.org/aop.events/941	ENSG00000146648
https://identifiers.org/aop.events/944	ENSG00000106546
https://identifiers.org/aop.events/944	ENSG00000143437
https://identifiers.org/aop.events/944	ENSG00000172379
https://identifiers.org/aop.events/957	ENSG00000163631
https://identifiers.org/aop.events/957	ENSG00000188878
https://identifiers.org/aop.events/958	ENSG00000163631
https://identifiers.org/aop.events/958	ENSG00000130770
https://identifiers.org/aop.events/958	ENSG00000163599
https://identifiers.org/aop.events/958	ENSG00000197408
https://identifiers.org/aop.events/958	ENSG00000256612
https://identifiers.org/aop.events/958	ENSG00000151914
https://identifiers.org/aop.events/958	ENSG00000102119
https://identifiers.org/aop.events/958	ENSG00000162769
https://identifiers.org/aop.events/958	ENSG00000111846
https://identifiers.org/aop.events/960	ENSG00000163631
https://identifiers.org/aop.events/960	ENSG00000047457
https://identifiers.org/aop.events/960	ENSG00000140465
https://identifiers.org/aop.events/960	ENSG00000140505
https://identifiers.org/aop.events/960	ENSG00000102119
https://identifiers.org/aop.events/960	ENSG00000111846
https://identifiers.org/aop.events/960	ENSG00000213658
https://identifiers.org/aop.events/960	ENSG00000086730
https://identifiers.org/aop.events/960	ENSG00000163431
https://identifiers.org/aop.events/960	ENSG00000100294
https://identifiers.org/aop.events/961	ENSG00000163631
https://identifiers.org/aop.events/961	ENSG00000140505
https://identifiers.org/aop.events/961	ENSG00000197408
https://identifiers.org/aop.events/961	ENSG00000165841
https://identifiers.org/aop.events/961	ENSG00000160868
https://identifiers.org/aop.events/961	ENSG00000211918
https://identifiers.org/aop.events/961	ENSG00000163431
https://identifiers.org/aop.events/961	ENSG00000100294
https://identifiers.org/aop.events/973	ENSG00000142208
https://identifiers.org/aop.events/980	ENSG00000088832
https://identifiers.org/aop.events/980	ENSG00000119782
https://identifiers.org/aop.events/980	ENSG00000173486
https://identifiers.org/aop.events/980	ENSG00000096060
https://identifiers.org/aop.events/980	ENSG00000077800
https://identifiers.org/aop.events/981	ENSG00000109471
https://identifiers.org/aop.events/984	ENSG00000015475
https://identifiers.org/aop.events/984	ENSG00000126759
https://identifiers.org/aop.events/984	ENSG00000109471
https://identifiers.org/aop.events/984	ENSG00000113520
https://identifiers.org/aop.events/1250	ENSG00000138356
https://identifiers.org/aop.events/1738	ENSG00000130234
https://identifiers.org/aop.events/1738	ENSG00000085662
https://identifiers.org/aop.events/1738	ENSG00000169083
https://identifiers.org/aop.events/1738	ENSG00000137869
https://identifiers.org/aop.events/1738	ENSG00000124882
https://identifiers.org/aop.events/1738	ENSG00000111846
https://identifiers.org/aop.events/1843	ENSG00000138356
https://identifiers.org/aop.events/1847	ENSG00000130234
https://identifiers.org/aop.events/1854	ENSG00000159640
https://identifiers.org/aop.events/1854	ENSG00000130234
https://identifiers.org/aop.events/1854	ENSG00000111846
https://identifiers.org/aop.events/202	ENSG00000164733
https://identifiers.org/aop.events/202	ENSG00000170345
https://identifiers.org/aop.events/202	ENSG00000125740
https://identifiers.org/aop.events/202	ENSG00000169194
https://identifiers.org/aop.events/202	ENSG00000136244
https://identifiers.org/aop.events/202	ENSG00000198001
https://identifiers.org/aop.events/202	ENSG00000117595
https://identifiers.org/aop.events/202	ENSG00000177606
https://identifiers.org/aop.events/202	ENSG00000130522
https://identifiers.org/aop.events/986	ENSG00000015475
https://identifiers.org/aop.events/986	ENSG00000126759
https://identifiers.org/aop.events/986	ENSG00000109471
https://identifiers.org/aop.events/986	ENSG00000113520
https://identifiers.org/aop.events/17	ENSG00000143437
https://identifiers.org/aop.events/1857	ENSG00000271503
https://identifiers.org/aop.events/1857	ENSG00000169896
https://identifiers.org/aop.events/1866	ENSG00000130234
https://identifiers.org/aop.events/1866	ENSG00000111846
https://identifiers.org/aop.events/1867	ENSG00000159640
https://identifiers.org/aop.events/1867	ENSG00000130234
https://identifiers.org/aop.events/1867	ENSG00000111846
https://identifiers.org/aop.events/1875	ENSG00000162769
https://identifiers.org/aop.events/1901	ENSG00000130234
https://identifiers.org/aop.events/1906	ENSG00000095139
https://identifiers.org/aop.events/1939	ENSG00000130234
https://identifiers.org/aop.events/1967	ENSG00000137752
https://identifiers.org/aop.events/1967	ENSG00000150782
https://identifiers.org/aop.events/1967	ENSG00000125538
https://identifiers.org/aop.events/1970	ENSG00000138356
https://identifiers.org/aop.events/2020	ENSG00000163599
https://identifiers.org/aop.events/2096	ENSG00000159640
https://identifiers.org/aop.events/2096	ENSG00000130234
https://identifiers.org/aop.events/2096	ENSG00000144891
https://identifiers.org/aop.events/2096	ENSG00000111846
https://identifiers.org/aop.events/2096	ENSG00000136244
https://identifiers.org/aop.events/2096	ENSG00000138722
https://identifiers.org/aop.events/2118	ENSG00000163599
https://identifiers.org/aop.events/1000	ENSG00000141027
https://identifiers.org/aop.events/1000	ENSG00000196498
https://identifiers.org/aop.events/1002	ENSG00000005022
https://identifiers.org/aop.events/1002	ENSG00000180176
https://identifiers.org/aop.events/1003	ENSG00000123561
https://identifiers.org/aop.events/1003	ENSG00000005022
https://identifiers.org/aop.events/1003	ENSG00000180176
