"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000345571","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000345571",,,"0.5","0.788",,,,"0.963","0.682"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000369497","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000369497",,,,"0.625",,,,"0.953","0.88"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000347184","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000347184","0.049",,,"0.295",,,,"0.962","0.949"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000268712","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000268712","0.055",,"0.5","0.465",,,,"0.921","0.726"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000352925","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000352925",,,"0.9","0.966",,,,"0.999","0.996"
,"pp",,"9606.ENSP00000261574 (pp) 9606.ENSP00000446215","false","pp","9606.ENSP00000261574 (pp) 9606.ENSP00000446215","0.271",,,"0.893",,,,"0.981","0.777"
,"pp",,"9606.ENSP00000261574 (pp) 9606.ENSP00000290158","false","pp","9606.ENSP00000261574 (pp) 9606.ENSP00000290158","0.217",,,"0.655",,,,"0.9","0.661"
,"pp",,"9606.ENSP00000474032 (pp) 9606.ENSP00000497174","false","pp","9606.ENSP00000474032 (pp) 9606.ENSP00000497174","0.067",,"0.9","0.986",,,,"0.999","0.981"
,"pp",,"9606.ENSP00000474032 (pp) 9606.ENSP00000477310","false","pp","9606.ENSP00000474032 (pp) 9606.ENSP00000477310",,,"0.9","0.195",,,,"0.978","0.751"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000309591","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000309591",,,"0.9","0.29",,,,"0.946","0.31"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000296526","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000296526","0.193","0.048","0.72","0.84",,,,"0.999","0.982"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000385205","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000385205",,,"0.5","0.366",,,,"0.904","0.722"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000378769","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000378769",,,"0.9",,,,,"0.903","0.072"
