"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"0","pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000263025","false","pp","9606.ENSP00000218008 (pp) MAPK3",,,"0.9",,,,,"0.9",
,"pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000481244","false","pp","9606.ENSP00000218008 (pp) 5348",,,"0.9","0.042",,,,"0.901","0.052"
"0","pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000215832","false","pp","9606.ENSP00000218008 (pp) MAPK1",,,"0.9",,,,,"0.9",
,"pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000363092","false","pp","9606.ENSP00000218008 (pp) PRKG1","0.075",,"0.9",,,,,"0.907","0.078"
,"pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000292079","false","pp","9606.ENSP00000218008 (pp) 9606.ENSP00000292079",,,"0.9","0.542",,,,"0.962","0.246"
,"pp",,"9606.ENSP00000437563 (pp) 9606.ENSP00000438038","false","pp","9606.ENSP00000437563 (pp) 9606.ENSP00000438038",,"0.057","0.9",,,,,"0.904","0.072"
"0","pp",,"9606.ENSP00000437563 (pp) 9606.ENSP00000262629","false","pp","9606.ENSP00000437563 (pp) 7305","0.063",,"0.9","0.073",,,,"0.985","0.849"
,"pp",,"9606.ENSP00000437563 (pp) 9606.ENSP00000365817","false","pp","9606.ENSP00000437563 (pp) 3133",,,"0.9","0.052",,,,"0.998","0.986"
,"pp",,"9606.ENSP00000269298 (pp) 9606.ENSP00000368572","false","pp","9606.ENSP00000269298 (pp) 6303","0.074","0.076","0.9","0.68",,,,"0.98","0.387"
,"pp",,"9606.ENSP00000269298 (pp) 9606.ENSP00000367309","false","pp","9606.ENSP00000269298 (pp) 4129",,,"0.9",,,,,"0.904","0.081"
,"pp",,"9606.ENSP00000269298 (pp) 9606.ENSP00000340684","false","pp","9606.ENSP00000269298 (pp) 4128","0.045",,"0.9",,,,,"0.904","0.081"
,"pp",,"9606.ENSP00000299721 (pp) 9606.ENSP00000305613","false","pp","9606.ENSP00000299721 (pp) 10815",,,"0.9",,,,,"0.962","0.641"
,"pp",,"9606.ENSP00000299721 (pp) 9606.ENSP00000378464","false","pp","9606.ENSP00000299721 (pp) 9606.ENSP00000378464",,,"0.9",,,,,"0.904","0.082"
,"pp",,"9606.ENSP00000299721 (pp) 9606.ENSP00000352544","false","pp","9606.ENSP00000299721 (pp) 10814",,,"0.9",,,,,"0.958","0.605"
,"pp",,"9606.ENSP00000299721 (pp) 9606.ENSP00000379602","false","pp","9606.ENSP00000299721 (pp) 6843","0.054",,"0.54",,,,,"0.908","0.806"
,"pp",,"9606.ENSP00000237014 (pp) 9606.ENSP00000252486","false","pp","7276 (pp) 348","0.092",,"0.5",,,,,"0.952","0.903"
"0","pp",,"9606.ENSP00000237014 (pp) 9606.ENSP00000497910","false","pp","7276 (pp) 567",,,"0.4",,,,,"0.968","0.95"
,"pp",,"9606.ENSP00000237014 (pp) 9606.ENSP00000496870","false","pp","7276 (pp) 4036","0.056",,,,,,,"0.905","0.904"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000357801","false","pp","9606.ENSP00000308782 (pp) S100A10",,,,,,,,"0.954","0.954"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000261405","false","pp","9606.ENSP00000308782 (pp) VWF","0.064",,,,,,,"0.997","0.997"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000308782 (pp) 2335",,,,"0.045",,,,"0.932","0.932"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000383931","false","pp","9606.ENSP00000308782 (pp) GP5","0.23",,,"0.095",,,,"0.961","0.949"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000308782 (pp) FYN",,,"0.9","0.649",,,,"0.996","0.92"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000428924","false","pp","9606.ENSP00000308782 (pp) 9606.ENSP00000428924","0.054",,"0.9","0.799",,,,"0.997","0.903"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000304408","false","pp","9606.ENSP00000308782 (pp) 1281",,,"0.9",,,,,"0.936","0.39"
,"pp",,"9606.ENSP00000308782 (pp) 9606.ENSP00000329380","false","pp","9606.ENSP00000308782 (pp) GP1BA","0.353",,,"0.095",,,,"0.946","0.917"
,"pp",,"9606.ENSP00000301218 (pp) 9606.ENSP00000497806","false","pp","2901 (pp) 1742","0.179",,"0.5","0.526",,,,"0.949","0.769"
,"pp",,"9606.ENSP00000301218 (pp) 9606.ENSP00000327687","false","pp","2901 (pp) 2897","0.062","0.082","0.5","0.167",,,,"0.993","0.984"
,"pp",,"9606.ENSP00000301218 (pp) 9606.ENSP00000362183","false","pp","2901 (pp) 2899","0.113","0.08","0.5","0.385",,,,"0.986","0.955"
,"pp",,"9606.ENSP00000301218 (pp) 9606.ENSP00000397026","false","pp","2901 (pp) 2898",,"0.076","0.5","0.965",,,,"0.999","0.983"
,"pp",,"9606.ENSP00000301218 (pp) 9606.ENSP00000435648","false","pp","2901 (pp) 2900","0.084","0.047","0.5",,,,,"0.989","0.979"
,"pp",,"9606.ENSP00000349640 (pp) 9606.ENSP00000436786","false","pp","MCRS1 (pp) 4297",,,"0.9","0.195",,,,"0.92","0.091"
,"pp",,"9606.ENSP00000349640 (pp) 9606.ENSP00000352925","false","pp","MCRS1 (pp) 8295","0.06",,"0.9",,,,,"0.908","0.101"
,"pp",,"9606.ENSP00000349640 (pp) 9606.ENSP00000457016","false","pp","MCRS1 (pp) INO80E","0.074",,"0.9","0.834",,,,"0.986","0.243"
,"pp",,"9606.ENSP00000349640 (pp) 9606.ENSP00000387393","false","pp","MCRS1 (pp) KANSL1",,,"0.9","0.705",,,,"0.996","0.888"
,"pp",,"9606.ENSP00000349640 (pp) 9606.ENSP00000406037","false","pp","MCRS1 (pp) 84148","0.085",,"0.9","0.593",,,,"0.986","0.678"
,"pp",,"9606.ENSP00000349640 (pp) 9606.ENSP00000440542","false","pp","MCRS1 (pp) 1108","0.058",,,"0.31",,,,"0.92","0.888"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000350425","false","pp","9606.ENSP00000365081 (pp) 337","0.062",,"0.72",,,,,"0.949","0.824"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000222381","false","pp","9606.ENSP00000365081 (pp) 5444","0.116",,"0.72",,,,,"0.906","0.653"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000445002","false","pp","9606.ENSP00000365081 (pp) 9606.ENSP00000445002","0.167",,"0.72",,,,,"0.942","0.773"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000465356","false","pp","9606.ENSP00000365081 (pp) 9606.ENSP00000465356","0.113",,"0.72",,,,,"0.939","0.776"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000315130","false","pp","9606.ENSP00000365081 (pp) 1191","0.044",,"0.72",,,,,"0.927","0.751"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000466775","false","pp","9606.ENSP00000365081 (pp) 9606.ENSP00000466775","0.2",,"0.72",,,,,"0.943","0.766"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000252486","false","pp","9606.ENSP00000365081 (pp) 348","0.056",,"0.72",,,,,"0.941","0.797"
,"pp",,"9606.ENSP00000365081 (pp) 9606.ENSP00000205948","false","pp","9606.ENSP00000365081 (pp) 350","0.783",,"0.72",,,,,"0.981","0.721"
"0","pp",,"9606.ENSP00000340820 (pp) 9606.ENSP00000500386","false","pp","MAPT (pp) CAMK2A","0.172",,"0.9","0.523",,,,"0.976","0.473"
,"pp",,"9606.ENSP00000340820 (pp) 9606.ENSP00000358327","false","pp","MAPT (pp) CASP7",,,"0.9","0.292",,,,"0.935","0.162"
,"pp",,"9606.ENSP00000340820 (pp) 9606.ENSP00000419782","false","pp","MAPT (pp) 1020","0.047",,"0.9","0.879",,,,"0.999","0.948"
,"pp",,"9606.ENSP00000340820 (pp) 9606.ENSP00000355865","false","pp","MAPT (pp) PRKN","0.074",,,"0.623",,,,"0.92","0.79"
"0","pp",,"9606.ENSP00000340820 (pp) 9606.ENSP00000346671","false","pp","MAPT (pp) FYN",,,,"0.874",,,,"0.994","0.958"
"0","pp",,"9606.ENSP00000340820 (pp) 9606.ENSP00000379098","false","pp","MAPT (pp) CAMK2B","0.224",,"0.9","0.108",,,,"0.937","0.204"
,"pp",,"9606.ENSP00000300131 (pp) 9606.ENSP00000318057","false","pp","NAB2 (pp) 1960","0.177",,"0.5","0.091",,,,"0.964","0.917"
,"pp",,"9606.ENSP00000300131 (pp) 9606.ENSP00000440542","false","pp","NAB2 (pp) 1108","0.086",,"0.8","0.337",,,,"0.952","0.657"
,"pp",,"9606.ENSP00000366746 (pp) 9606.ENSP00000476412","false","pp","9606.ENSP00000366746 (pp) 9606.ENSP00000476412","0.042",,"0.9","0.089",,,,"0.973","0.734"
,"pp",,"9606.ENSP00000366746 (pp) 9606.ENSP00000267202","false","pp","9606.ENSP00000366746 (pp) VPS37B","0.055",,"0.9",,,,,"0.933","0.352"
