PathwayID	source	target
WP4932	ENSG00000188763	ENSG00000105989
WP4875	ENSG00000198576	ENSG00000198576
WP2781	R-HSA-1254381	R-HSA-1254397
WP4932	ENSG00000146755	ENSG00000161011
WP3584	ENSG00000164985	ENSG00000152578
WP3584	CHEBI:29987	ENSG00000176884
WP2781	ENSG00000107562	P48061
WP5408	ENSG00000214575	ENSG00000121274
WP4083	P98155	R-HSA-8854471
WP2781	ENSG00000135222	R-HSA-8954223
WP4932	ENSG00000049541	ENSG00000141867
WP4932	P16104	CHEBI:46858
WP5407	ENSG00000187098	ENSG00000134160
WP5405	172469	ENSG00000165475
WP2781	R-HSA-1251980	R-HSA-1253341
WP5346	Q27132250	ENSG00000103126
WP2781	R-HSA-1250351	R-HSA-1250373
WP5407	ENSG00000127022	ENSG00000175344
WP4657	ENSG00000143365	P51449
WP4222	ENSG00000072062	ENSG00000118260
WP2781	ENSG00000117632	R-HSA-9612450
WP5402	ENSG00000148671	ENSG00000245848
WP4657	CHEBI:33568	CHEBI:89633
WP4940	ENSG00000140157	CHEBI:18420
WP5346	ENSG00000164733	ENSG00000121552
WP2781	R-HSA-179847	R-HSA-1977956
WP3584	CHEBI:29987	ENSG00000155511
WP3584	ENSG00000196132	ENSG00000169057
WP4083	CHEBI:30616	R-HSA-8855226
WP4932	ENSG00000049541	ENSG00000111445
WP3584	ENSG00000105880	ENSG00000128683
WP4932	P16104	CHEBI:82620
WP4906	ENSG00000177606	ENSG00000177606
WP2781	R-HSA-1250221	CHEBI:456216
WP5407	ENSG00000104067	ENSG00000101222
WP4657	ENSG00000114315	ENSG00000114315
WP5399	ENSG00000144061	ENSG00000119509
WP4657	CHEBI:6067	HMDB0006285
WP4905	CHEBI:62837	HMDB0001429
WP3584	ENSG00000128683	CHEBI:16865
WP4932	ENSG00000126581	ENSG00000126581
WP5402	ENSG00000108219	ENSG00000137845
WP5398	ENSG00000179915	ENSG00000146938
WP3584	CHEBI:16865	ENSG00000111886
WP5402	ENSG00000148600	ENSG00000099994
WP4906	CHEBI:29033	ENSG00000091513
WP5402	CHEBI:15378	CHEBI:15378
WP4932	ENSG00000263001	ENSG00000196591
WP4932	ENSG00000263001	ENSG00000010671
WP4222	HMDB0000058	ENSG00000072062
WP4905	WP428	WP4239
WP4657	CHEBI:18243	ENSG00000149295
WP4657	ENSG00000184702	ENSG00000184702
WP2781	CHEBI:18348	CHEBI:16618
WP5407	ENSG00000034053	ENSG00000136854
WP4906	ENSG00000078725	ENSG00000096717
WP3584	ENSG00000137154	ENSG00000137154
WP4932	ENSG00000263001	ENSG00000136997
WP4657	CHEBI:18243	CHEBI:1582
WP2781	CHEBI:15996	R-HSA-109783
WP5408	ENSG00000140600	ENSG00000159082
WP4932	CHEBI:18243	CHEBI:18243
WP2781	ENSG00000131095	R-HSA-8954171
WP2781	P46934	R-HSA-1973959
WP5346	ENSG00000136574	ENSG00000168487
WP5346	ENSG00000168036	WP3558
WP2781	ENSG00000123933	R-HSA-9612446
WP5402	CHEBI:29108	CHEBI:29108
WP5346	ENSG00000072694	ENSG00000072694
WP4932	ENSG00000076555	ENSG00000076555
WP2781	ENSG00000105963	R-HSA-9612270
WP4222	ENSG00000072062	HMDB0000073
WP4657	ENSG00000184702	ENSG00000164402
WP4906	ENSG00000073598	ENSG00000124688
WP4657	ENSG00000184058	ENSG00000168505
WP4932	CHEBI:14321	CHEBI:14321
WP4657	ENSG00000185608	CPX-5226
WP4942, WP5407	ENSG00000169926	ENSG00000005339
WP4222	CHEBI:104872	ENSG00000113448
WP4657	ENSG00000125798	ENSG00000125798
WP4905	ENSG00000104067	ENSG00000130396
WP2781	R-HSA-1250359	CHEBI:456216
WP4906	ENSG00000174007	ENSG00000213066
WP4942	ENSG00000198690	CHEBI:16991
WP5346	ENSG00000163950	ENSG00000104626
WP5406	CHEBI:17552	ENSG00000067560
