Ensembl	KEid	AOPid
ENSG00000109320	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1869	https://identifiers.org/aop/500; https://identifiers.org/aop/488
ENSG00000109471	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000110436	https://identifiers.org/aop.events/1488	https://identifiers.org/aop/17
ENSG00000110711	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000110801	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000110911	https://identifiers.org/aop.events/1968	https://identifiers.org/aop/500
ENSG00000110958	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000111700	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000111846	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/888; https://identifiers.org/aop.events/18; https://identifiers.org/aop.events/383; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/1502	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/17; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/3; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/13; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/395; https://identifiers.org/aop/275; https://identifiers.org/aop/449
ENSG00000112115	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000112394	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000112715	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1738	https://identifiers.org/aop/17; https://identifiers.org/aop/395
ENSG00000113263	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000113520	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000113580	https://identifiers.org/aop.events/122; https://identifiers.org/aop.events/1538	https://identifiers.org/aop/214; https://identifiers.org/aop/17
ENSG00000114013	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000115020	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000115386	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000115419	https://identifiers.org/aop.events/1488; https://identifiers.org/aop.events/383	https://identifiers.org/aop/17; https://identifiers.org/aop/13
ENSG00000115705	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/281; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/279	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/402; https://identifiers.org/aop/42
ENSG00000116478	https://identifiers.org/aop.events/1262	https://identifiers.org/aop/500
ENSG00000116679	https://identifiers.org/aop.events/888	https://identifiers.org/aop/3
ENSG00000117560	https://identifiers.org/aop.events/55; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000117595	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/2097	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000118217	https://identifiers.org/aop.events/1512	https://identifiers.org/aop/260; https://identifiers.org/aop/464
ENSG00000118257	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000118271	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/961	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000120889	https://identifiers.org/aop.events/1825	https://identifiers.org/aop/464
ENSG00000121691	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/1969	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/459
ENSG00000121858	https://identifiers.org/aop.events/1825; https://identifiers.org/aop.events/1492	https://identifiers.org/aop/464; https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000121879	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000122133	https://identifiers.org/aop.events/960	https://identifiers.org/aop/152
ENSG00000122194	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54
ENSG00000122420	https://identifiers.org/aop.events/1738	https://identifiers.org/aop/395
ENSG00000122507	https://identifiers.org/aop.events/850	https://identifiers.org/aop/459
ENSG00000122585	https://identifiers.org/aop.events/383	https://identifiers.org/aop/13
ENSG00000122783	https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/352	https://identifiers.org/aop/374; https://identifiers.org/aop/471; https://identifiers.org/aop/12; https://identifiers.org/aop/281; https://identifiers.org/aop/374; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/500
