"DisGeNET","Ensembl","gLayCluster","Literature","Literature.doi","name","Name2","selected","shared name","WikiPathways"
,"ENSG00000163634","91","1","10.1038/s41586-022-04434-5","THOC7","THOC7","false","THOC7",
,"ENSG00000133687","92","1","10.1038/s41586-022-04434-5","TMTC1","TMTC1","false","TMTC1",
,"ENSG00000133107","93","1","10.1038/s41586-022-04434-5","TRPC4","TRPC4","false","TRPC4",
,"ENSG00000198431","94","1","10.1038/s41586-022-04434-5","TXNRD1","TXNRD1","false","TXNRD1",
,"ENSG00000185274","95","1","10.1038/s41586-022-04434-5","WBSCR17","GALNT17","false","WBSCR17",
,"ENSG00000092470","96","1","10.1038/s41586-022-04434-5","WDR76","WDR76","false","WDR76",
,"ENSG00000075035","97","1","10.1038/s41586-022-04434-5","WSCD2","WSCD2","false","WSCD2",
,"ENSG00000197933","98","1","10.1038/s41586-022-04434-5","ZNF823","ZNF823","false","ZNF823",
,"ENSG00000127903","99","1","10.1038/s41586-022-04434-5","ZNF835","ZNF835","false","ZNF835",
,"ENSG00000185485","100",,,"SDHAP1","SDHAP1","false","SDHAP1","1"
,"ENSG00000212146","101",,,"RNU6-910P","RNU6-910P","false","RNU6-910P","1"
,"ENSG00000206644","102",,,"RNU6-1279P","RNU6-1279P","false","RNU6-1279P","1"
,"ENSG00000241868","103",,,"RN7SL434P","RN7SL434P","false","RN7SL434P","1"
,"ENSG00000243339","104",,,"RN7SL738P","RN7SL738P","false","RN7SL738P","1"
,"ENSG00000225770","105",,,"RPS29P3","RPS29P3","false","RPS29P3","1"
,"ENSG00000206892","106",,,"RNU6-42P","RNU6-42P","false","RNU6-42P","1"
,"ENSG00000233487","107",,,"RPSAP69","RPSAP69","false","RPSAP69","1"
,"ENSG00000228109","108",,,"MELTF-AS1","MELTF-AS1","false","MELTF-AS1","1"
,"ENSG00000126561","109",,,"STAT5A","STAT5A","false","STAT5A","1"
,"ENSG00000065029","110",,,"ZNF76","ZNF76","false","ZNF76","1"
,"ENSG00000112130","111",,,"RNF8","RNF8","false","RNF8","1"
,"ENSG00000224652","112",,,"LINC00885","LINC00885","false","LINC00885","1"
,"ENSG00000136997","113",,,"MYC","MYC","false","MYC","1"
,"ENSG00000135837","114",,,"CEP350","CEP350","false","CEP350","1"
,"ENSG00000213066","114",,,"FGFR1OP","CEP43","false","FGFR1OP","1"
,"ENSG00000078725","115",,,"BRINP1","BRINP1","false","BRINP1","1"
,"ENSG00000005810","116",,,"MYCBP2","MYCBP2","false","MYCBP2","1"
,"ENSG00000270170","117",,,"NCBP2AS2","NCBP2AS2","false","NCBP2AS2","1"
,"ENSG00000163975","118",,,"MELTF","MELTF","false","MELTF","1"
,"ENSG00000145107","119",,,"TM4SF19","TM4SF19","false","TM4SF19","1"
,"ENSG00000126870","120",,,"WDR60","DYNC2I1","false","WDR60","1"
,"ENSG00000117461","110",,,"PIK3R3","PIK3R3","false","PIK3R3","1"
,"ENSG00000177889","121",,,"UBE2N","UBE2N","false","UBE2N","1"
,"ENSG00000174007","114",,,"CEP19","CEP19","false","CEP19","1"
,"ENSG00000239122","122",,,"RNU2-11P","RNU2-11P","false","RNU2-11P","1"
,"ENSG00000214097","110",,,"SMCO1","SMCO1","false","SMCO1","1"
,"ENSG00000105697","123",,,"HAMP","HAMP","false","HAMP","1"
,"ENSG00000163959","124",,,"SLC51A","SLC51A","false","SLC51A","1"
,"ENSG00000173757","125",,,"STAT5B","STAT5B","false","STAT5B","1"
,"ENSG00000089159","126",,,"PXN","PXN","false","PXN","1"
,"ENSG00000072274","123",,,"TFRC","TFRC","false","TFRC","1"
,"ENSG00000235897","127",,,"TM4SF19-AS1","TM4SF19-AS1","false","TM4SF19-AS1","1"
,"ENSG00000252174","128",,,"RNU7-18P","RNU7-18P","false","RNU7-18P","1"
,"ENSG00000186198","129",,,"SLC51B","SLC51B","false","SLC51B","1"
,"ENSG00000185798","130",,,"WDR53","WDR53","false","WDR53","1"
,"ENSG00000225822","131",,,"UBXN7-AS1","UBXN7-AS1","false","UBXN7-AS1","1"
,"ENSG00000114503","132",,,"NCBP2","NCBP2","false","NCBP2","1"
,"ENSG00000163964","133",,,"PIGX","PIGX","false","PIGX","1"
,"ENSG00000174004","134",,,"NRROS","NRROS","false","NRROS","1"
,"ENSG00000213123","135",,,"TCTEX1D2","DYNLT2B","false","TCTEX1D2","1"
,"ENSG00000227375","136",,,"DLG1-AS1","DLG1-AS1","false","DLG1-AS1","1"
,"ENSG00000138036","137",,,"DYNC2LI1","DYNC2LI1","false","DYNC2LI1","1"
,"ENSG00000138449","138",,,"SLC40A1","SLC40A1","false","SLC40A1","1"
,"ENSG00000073598","110",,,"FNDC8","FNDC8","false","FNDC8","1"
,"ENSG00000273331","139",,,"TM4SF19-TCTEX1D2","TM4SF19-DYNLT2B","false","TM4SF19-TCTEX1D2","1"
,"ENSG00000225578","140",,,"NCBP2-AS1","NCBP2-AS1","false","NCBP2-AS1","1"
,"ENSG00000119227","141",,,"PIGZ","PIGZ","false","PIGZ","1"
,"ENSG00000163961","121",,,"RNF168","RNF168","false","RNF168","1"
,"ENSG00000186575","142",,,"NF2","NF2","false","NF2","1"
,"ENSG00000109670","143",,,"FBXW7","FBXW7","false","FBXW7","1"
,"ENSG00000201441","144",,,"RNU6-646P","RNU6-646P","false","RNU6-646P","1"
,"ENSG00000119231","145",,,"SENP5","SENP5","false","SENP5","1"
,"ENSG00000124688","110",,,"MAD2L1BP","MAD2L1BP","false","MAD2L1BP","1"
,"ENSG00000163958","146",,,"ZDHHC19","ZDHHC19","false","ZDHHC19","1"
,"ENSG00000272359","147",,,"RNU4-89P","RNU4-89P","false","RNU4-89P","1"
,"ENSG00000165806","148",,,"CASP7","CASP7","false","CASP7","1"
,"ENSG00000143315","149",,,"PIGM","PIGM","false","PIGM","1"
,"ENSG00000224614","150",,,"TNK2-AS1","TNK2-AS1","false","TNK2-AS1","1"
,"ENSG00000163960","151",,,"UBXN7","UBXN7","false","UBXN7","1"
,"ENSG00000161217","152",,,"PCYT1A","PCYT1A","false","PCYT1A","1"
