PathwayID	source	target
WP4906	ENSG00000072274	ENSG00000091513
WP3584	ENSG00000169813	ENSG00000169057
WP4905	CHEBI:62837	CHEBI:75757
WP5346	ENSG00000173273	ENSG00000147601
WP4932	ENSG00000086730	ENSG00000086730
WP4905	CHEBI:7794	HMDB0001429
WP5407	ENSG00000104067	ENSG00000101222
WP4657	ENSG00000070371	ENSG00000181856
WP5346	ENSG00000173273	WP183
WP4905	ENSG00000121634	ENSG00000104067
WP4657	O15547	WP4900
WP5402	ENSG00000165678	ENSG00000141385
WP4657	ENSG00000237517	ENSG00000146648
WP4942	ENSG00000285077	PF00153
WP5406	ENSG00000205863	ENSG00000181092
WP3584	ENSG00000137154	ENSG00000137154
WP4906	CHEBI:295975	CHEBI:33019
WP4657	HMDB0002104	CHEBI:16176
WP4222	HMDB0005039	ENSG00000138735
WP5346	3137320	ENSG00000173273
WP4932	CHEBI:46858	CHEBI:82620
WP4932	ENSG00000263001	ENSG00000010671
WP5406	ENSG00000205863	ENSG00000240654
WP5408	CHEBI:17748	CHEBI:17748
WP4657	ENSG00000114315	ENSG00000114315
WP5402	ENSG00000173269	ENSG00000112715
WP4932	CHEBI:18357	CHEBI:18357
WP4942, WP5407	ENSG00000169926	ENSG00000005339
WP4657	ENSG00000164107	ENSG00000070010
WP4942, WP5407	ENSG00000169926	ENSG00000149257
WP4942	CHEBI:15355	ENSG00000175344
WP5402	ENSG00000107779	WP428
WP5346	ENSG00000258724	ENSG00000187778
WP4932	ENSG00000126581	ENSG00000177169
WP4657	ENSG00000108424	Q994741
WP4222	ENSG00000131771	ENSG00000155511
WP4940	ENSG00000140157	CHEBI:18420
WP3584	CHEBI:29987	ENSG00000176884
WP4657	ENSG00000100084	ENSG00000149929
WP5402	CHEBI:15378	CHEBI:15378
WP4932	ENSG00000106635	ENSG00000168036
WP4222	ENSG00000072062	ENSG00000131771
WP4932	ENSG00000086730	ENSG00000177885
WP4932	ENSG00000106638	ENSG00000120942
WP5346	ENSG00000163950	ENSG00000104626
WP5406	ENSG00000182957	CHEBI:17552
WP3584	ENSG00000128683	CHEBI:16865
WP4657	ENSG00000185252	ENSG00000181222
WP4657	ENSG00000100150	ENSG00000100150
WP5346	ENSG00000164733	ENSG00000152595
WP4905	CHEBI:16269	CHEBI:17735
WP5402	ENSG00000182771	CHEBI:29985
WP5407	ENSG00000104067	ENSG00000143375
WP3584	MIMAT0000429	ENSG00000106462
