identifier	identifier.source	target	target.source
CHEMBL3416563	ChEMBL compound	86194	ChEBI
CHEMBL24828	ChEMBL compound	49960	ChEBI
CHEMBL180101	ChEMBL compound	125535	ChEBI
CHEMBL1241674	ChEMBL compound	90679	ChEBI
CHEMBL311469	ChEMBL compound	17356	ChEBI
CHEMBL1562	ChEMBL compound	545959	ChEBI
CHEMBL193482	ChEMBL compound	27974	ChEBI
CHEMBL179166	ChEMBL compound	35607	ChEBI
CHEMBL475534	ChEMBL compound	7582	ChEBI
CHEMBL1235717	ChEMBL compound	45358	ChEBI
CHEMBL511749	ChEMBL compound	94306	ChEBI
CHEMBL1367478	ChEMBL compound	59805	ChEBI
CHEMBL379845	ChEMBL compound	134761	ChEBI
CHEMBL84567	ChEMBL compound	92596	ChEBI
CHEMBL3590107	ChEMBL compound	167670	ChEBI
CHEMBL214321	ChEMBL compound	16514	ChEBI
CHEMBL163	ChEMBL compound	45409	ChEBI
CHEMBL164	ChEMBL compound	18152	ChEBI
CHEMBL151	ChEMBL compound	15864	ChEBI
CHEMBL150	ChEMBL compound	28499	ChEBI
CHEMBL198609	ChEMBL compound	142489	ChEBI
CHEMBL1835659	ChEMBL compound	69485	ChEBI
CHEMBL145	ChEMBL compound	16433	ChEBI
CHEMBL1447964	ChEMBL compound	115515	ChEBI
CHEMBL135	ChEMBL compound	16469	ChEBI
CHEMBL131	ChEMBL compound	8378	ChEBI
CHEMBL265502	ChEMBL compound	45906	ChEBI
CHEMBL1648	ChEMBL compound	6073	ChEBI
CHEMBL1537964	ChEMBL compound	116452	ChEBI
CHEMBL193	ChEMBL compound	7565	ChEBI
CHEMBL192	ChEMBL compound	9139	ChEBI
CHEMBL188	ChEMBL compound	73295	ChEBI
CHEMBL566752	ChEMBL compound	79033	ChEBI
CHEMBL1696	ChEMBL compound	4449	ChEBI
CHEMBL487402	ChEMBL compound	136666	ChEBI
CHEMBL607707	ChEMBL compound	38927	ChEBI
CHEMBL1676	ChEMBL compound	74899	ChEBI
CHEMBL2018302	ChEMBL compound	94186	ChEBI
CHEMBL106516	ChEMBL compound	90712	ChEBI
CHEMBL277500	ChEMBL compound	16716	ChEBI
CHEMBL1230609	ChEMBL compound	91418	ChEBI
CHEMBL277525	ChEMBL compound	109530	ChEBI
CHEMBL1200732	ChEMBL compound	31199	ChEBI
CHEMBL1530428	ChEMBL compound	4463	ChEBI
CHEMBL420311	ChEMBL compound	90369	ChEBI
CHEMBL386630	ChEMBL compound	17347	ChEBI
CHEMBL1229592	ChEMBL compound	61400	ChEBI
CHEMBL18772	ChEMBL compound	93368	ChEBI
CHEMBL1326877	ChEMBL compound	34208	ChEBI
CHEMBL295467	ChEMBL compound	73410	ChEBI
CHEMBL458997	ChEMBL compound	91452	ChEBI
CHEMBL317229	ChEMBL compound	92975	ChEBI
CHEMBL7890	ChEMBL compound	7549	ChEBI
CHEMBL123	ChEMBL compound	4776	ChEBI
CHEMBL121	ChEMBL compound	50122	ChEBI
CHEMBL117	ChEMBL compound	75095	ChEBI
CHEMBL104	ChEMBL compound	3764	ChEBI
CHEMBL50894	ChEMBL compound	138488	ChEBI
CHEMBL258465	ChEMBL compound	92969	ChEBI
CHEMBL1726	ChEMBL compound	76917	ChEBI
CHEMBL605003	ChEMBL compound	91462	ChEBI
CHEMBL495727	ChEMBL compound	125514	ChEBI
CHEMBL226034	ChEMBL compound	67492	ChEBI
CHEMBL1766	ChEMBL compound	691037	ChEBI
CHEMBL1394829	ChEMBL compound	19503	ChEBI
CHEMBL235842	ChEMBL compound	95226	ChEBI
CHEMBL2048028	ChEMBL compound	133023	ChEBI
CHEMBL1200916	ChEMBL compound	48566	ChEBI
CHEMBL7917	ChEMBL compound	75404	ChEBI
CHEMBL92708	ChEMBL compound	3330	ChEBI
CHEMBL465980	ChEMBL compound	7775	ChEBI
CHEMBL408513	ChEMBL compound	61076	ChEBI
CHEMBL1171837	ChEMBL compound	78543	ChEBI
CHEMBL41140	ChEMBL compound	104164	ChEBI
CHEMBL1200845	ChEMBL compound	31663	ChEBI
CHEMBL260876	ChEMBL compound	36946	ChEBI
CHEMBL1369896	ChEMBL compound	77282	ChEBI
CHEMBL343633	ChEMBL compound	31556	ChEBI
CHEMBL514499	ChEMBL compound	91334	ChEBI
CHEMBL83527	ChEMBL compound	8630	ChEBI
CHEMBL45245	ChEMBL compound	75292	ChEBI
CHEMBL1568046	ChEMBL compound	119982	ChEBI
CHEMBL450786	ChEMBL compound	90197	ChEBI
CHEMBL21241	ChEMBL compound	70778	ChEBI
CHEMBL473417	ChEMBL compound	66903	ChEBI
CHEMBL309490	ChEMBL compound	5262	ChEBI
CHEMBL395414	ChEMBL compound	74020	ChEBI
CHEMBL269732	ChEMBL compound	61049	ChEBI
CHEMBL305904	ChEMBL compound	135073	ChEBI
CHEMBL275528	ChEMBL compound	8058	ChEBI
CHEMBL1973540	ChEMBL compound	95283	ChEBI
CHEMBL583912	ChEMBL compound	90	ChEBI
CHEMBL721	ChEMBL compound	15368	ChEBI
CHEMBL178334	ChEMBL compound	93654	ChEBI
CHEMBL701	ChEMBL compound	2972	ChEBI
CHEMBL225304	ChEMBL compound	40618	ChEBI
