PathwayID	source	target
WP4657	ENSG00000099899	WP3561
WP5346	ENSG00000136573	http://rdf.wikipathways.org/Pathway/WP5346_r127110/WP/Interaction/id9d6a627b
WP4657	ENSG00000237517	ENSG00000237517
WP2781	R-HSA-1253312	R-HSA-1253326
WP4905, WP5407	ENSG00000104067	ENSG00000119139
WP5407	ENSG00000104067	ENSG00000263155
WP5412	ENSG00000141510	ENSG00000023287
WP5346	ENSG00000136869	IPR000837
WP5408	ENSG00000136383	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/id66d47559
WP5402	ENSG00000185737	ENSG00000178568
WP4657	ENSG00000176692	ENSG00000176692
WP4657	O15547	WP4900
WP4942	ENSG00000113262	ENSG00000134160
WP4657	ENSG00000132155	ENSG00000132155
WP4932	ENSG00000188763	ENSG00000105989
WP4875	ENSG00000198576	ENSG00000198576
WP2781	R-HSA-1254381	R-HSA-1254397
WP4932	ENSG00000146755	ENSG00000161011
WP3584	ENSG00000164985	ENSG00000152578
WP4932	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/bc573	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/b415f
WP4932	ENSG00000071462	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/f9fd4
WP3584	CHEBI:29987	ENSG00000176884
WP2781	ENSG00000107562	P48061
WP5408	ENSG00000214575	ENSG00000121274
WP4083	P98155	R-HSA-8854471
WP2781	ENSG00000135222	R-HSA-8954223
WP4932	ENSG00000049541	ENSG00000141867
WP4932	P16104	CHEBI:46858
WP5407	ENSG00000187098	ENSG00000134160
WP5405	172469	ENSG00000165475
WP2781	R-HSA-1251980	R-HSA-1253341
WP5346	Q27132250	ENSG00000103126
WP2781	R-HSA-1250351	R-HSA-1250373
WP5407	ENSG00000127022	ENSG00000175344
WP5402	ENSG00000165678	http://rdf.wikipathways.org/Pathway/WP5402_r127208/WP/Interaction/idd48a4b6a
WP4657	ENSG00000143365	P51449
WP4222	ENSG00000072062	ENSG00000118260
WP2781	ENSG00000117632	R-HSA-9612450
WP5402	ENSG00000148671	ENSG00000245848
WP4657	CHEBI:33568	CHEBI:89633
WP4940	ENSG00000140157	CHEBI:18420
WP5346	ENSG00000164733	ENSG00000121552
WP2781	R-HSA-179847	R-HSA-1977956
WP4906	ENSG00000180370	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/idaaa58053
WP3584	CHEBI:29987	ENSG00000155511
WP3584	ENSG00000196132	ENSG00000169057
WP4083	CHEBI:30616	R-HSA-8855226
WP4932	ENSG00000049541	ENSG00000111445
WP4657	ENSG00000125798	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/b0fdd
WP3584	ENSG00000105880	ENSG00000128683
WP4932	P16104	CHEBI:82620
WP4906	ENSG00000177606	ENSG00000177606
WP2781	R-HSA-1250221	CHEBI:456216
WP5407	ENSG00000104067	ENSG00000101222
WP4657	ENSG00000114315	ENSG00000114315
WP5399	ENSG00000144061	ENSG00000119509
WP4657	ENSG00000099949	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/e3d9b
WP4657	CHEBI:6067	HMDB0006285
